Horizon,Time_Unit,At_Risk_At_Horizon,Observed_Events_By_Horizon,Censored_By_Horizon,Overall_Predicted_Survival,Overall_Observed_KM_Survival,Calibration_Difference,Absolute_Calibration_Error,IPCW_Brier_Score,Brier_Score_Method,Integrated_Brier_Score,Integrated_Brier_Score_Scope,Integration_Horizon_Min,Integration_Horizon_Max,Max_Group_Absolute_Calibration_Error,Calibration_Review_Threshold,Calibration_Status
6.0,months,5678,1822,0,0.747559228648994,0.757066666666667,-0.009507438017672953,0.009507438017672953,0.11024998460608298,IPCW,0.1188062118018333,Trapezoidal average across configured horizons; not a full continuous-time IBS.,6.0,24.0,0.07083123314140682,0.1,PASS
12.0,months,3603,2588,1309,0.6339810730400812,0.6462591589857599,-0.012278085945678696,0.012278085945678696,0.13023836268558056,IPCW,0.1188062118018333,Trapezoidal average across configured horizons; not a full continuous-time IBS.,6.0,24.0,0.07083123314140682,0.1,PASS
18.0,months,1550,2884,3066,0.5615516590385758,0.5754700700455602,-0.013918411006984321,0.013918411006984321,0.13319994187464237,IPCW,0.1188062118018333,Trapezoidal average across configured horizons; not a full continuous-time IBS.,6.0,24.0,0.07083123314140682,0.1,PASS
24.0,months,0,2964,4536,0.49895775202365933,0.5124798352768083,-0.013522083253148964,0.013522083253148964,0.07571067708447093,IPCW,0.1188062118018333,Trapezoidal average across configured horizons; not a full continuous-time IBS.,6.0,24.0,0.07083123314140682,0.1,PASS
